name,password,current_experience,current_level,current_charming_level,player_level1,player_level2,player_level3,money
÷Ï÷æ»Â,123,0,0,0,«‡Õ≠,5,0,1000000
÷£”≥—©,123,0,0,0,«‡Õ≠,5,0,1000000
÷£”ÓÊÁ,123,0,0,0,«‡Õ≠,5,0,1000000
∞¢≤ªÀº,123,0,0,0,«‡Õ≠,5,0,1000000
∏  À∑Ú,123,0,0,0,«‡Õ≠,5,0,1000000
∏  À¿º,123,0,0,0,«‡Õ≠,5,0,1000000
∏  À—‡,123,0,0,0,«‡Õ≠,5,0,1000000
∏  È¡˙,123,0,0,0,«‡Õ≠,5,0,1000000
∏  Á∑“,123,0,0,0,«‡Õ≠,5,0,1000000
Ã¿‘Û¡ÿ,123,0,0,0,«‡Õ≠,5,0,1000000
Ã¿‘Û»∫,123,0,0,0,«‡Õ≠,5,0,1000000
Ã¿‘Û»Ÿ,123,0,0,0,«‡Õ≠,5,0,1000000
Ã¿‘Û…˙,123,0,0,0,«‡Õ≠,5,0,1000000
Ã¿‘ÛÀ≥,123,0,0,0,«‡Õ≠,5,0,1000000
